"Stock Symbol","Date","Open Price","Close Price","Current Price","Price Change Rate","Price Change","High Price","Low Price","Volume"
"016090",,"2135","N/A","2120","-0.93","20","2150","2105","195212"
"089010",,"20500","N/A","20350","-0.73","150","20800","20100","101460"
"377300",,"24700","N/A","24700","0.2","50","25150","24400","110897"
"900120",,"104","N/A","97","3.19","3","105","92","33303631"
"354200",,"3435","N/A","3175","-6.62","225","3505","3175","323562"
"034730",,"154700","N/A","151500","-0.53","800","155300","151200","102433"
"319400",,"3015","N/A","3120","4.52","135","3245","2995","5616915"
"094820",,"8960","N/A","8970","-0.44","40","9080","8940","28020"
"03473K",,"124500","N/A","123700","-0.64","800","125100","123600","1226"
"010780",,"21350","N/A","22200","3.5","750","22400","21350","44022"
"297570",,"999","N/A","1003","-0.69","7","1007","997","25048"
"008470",,"4045","N/A","4090","1.11","45","4090","4035","1981"
"013810",,"3910","N/A","3980","2.05","80","4060","3885","940074"
"123420",,"8190","N/A","8050","-1.11","90","8280","8000","44818"
"067630",,"9300","N/A","9360","-9.57","990","9710","9080","1772008"
"065450",,"4770","N/A","4855","2.1","100","4870","4745","577098"
"082850",,"4290","N/A","4090","-5.54","240","4330","4090","2318229"
"041020",,"5230","N/A","5150","-0.77","40","5380","5150","342530"
"043200",,"554","N/A","559","0.9","5","566","545","54205"
"009320",,"1098","N/A","1097","-0.09","1","1098","1083","12349"
"455310",,"2120","N/A","2095","-1.41","30","2120","2070","6980"
"017370",,"6860","N/A","6850","0.0","0","6990","6790","58854"
"091340",,"2700","N/A","2655","-1.67","45","2715","2650","7673"
"024900",,"3615","N/A","3525","-2.49","90","3640","3520","69389"
"452280",,"11170","N/A","10900","-2.85","320","11370","10840","203153"
"214390",,"7440","N/A","7440","0.0","0","7440","7440","0"
"900110",,"71","N/A","70","0.0","0","73","69","10646032"
"093520",,"9620","N/A","9510","-1.14","110","10030","9430","112914"
"295310",,"17100","N/A","16220","-3.51","590","17300","16200","444033"
"145210",,"3190","N/A","3095","-4.03","130","3290","3095","323590"
"094850",,"4900","N/A","4800","-1.23","60","4900","4800","13675"
"446840",,"2270","N/A","2280","-0.87","20","2295","2240","7943"
"168330",,"1689","N/A","1670","0.6","10","1689","1660","67425"
"019550",,"693","N/A","705","2.77","19","761","685","2442115"
"296640",,"5730","N/A","5780","0.0","0","5780","5700","3588"
"095700",,"6450","N/A","6310","-1.41","90","6460","6300","62190"
"250000",,"10330","N/A","10140","-1.46","150","10350","10060","16414"
"005390",,"2310","N/A","2235","-3.25","75","2315","2220","350928"
"195940",,"48900","N/A","48100","-1.94","950","49000","45850","830272"
"007570",,"12920","N/A","12920","0.08","10","12950","12860","17335"
"307870",,"1363","N/A","1271","-6.68","91","1368","1265","438487"
"004060",,"351","N/A","353","-0.56","2","357","351","593380"
"303030",,"1257","N/A","1238","-1.51","19","1265","1230","169355"
"304360",,"30850","N/A","31100","0.65","200","31400","30050","107313"
"007575",,"12140","N/A","12110","-0.16","20","12140","12000","713"
"340440",,"1335","N/A","1326","-0.08","1","1335","1313","11418"
"065440",,"1266","N/A","1294","2.21","28","1294","1266","60546"
"433530",,"2295","N/A","2320","1.09","25","2380","2230","416695"
"008420",,"2435","N/A","2415","-1.02","25","2435","2410","10868"
"248170",,"28400","N/A","28300","-1.22","350","28950","28200","35300"
"043650",,"4840","N/A","4815","-0.41","20","4900","4810","27803"
"021880",,"325","N/A","326","0.31","1","331","325","344468"
"040160",,"2695","N/A","2685","-0.92","25","2710","2670","5363"
"101240",,"5480","N/A","5390","-2.18","120","5600","5390","65783"
"089030",,"39700","N/A","36300","-7.63","3000","39800","36150","629909"
"478440",,"2015","N/A","2030","0.0","0","2035","2015","14361"
"024910",,"2290","N/A","2295","0.44","10","2305","2260","153081"
"900100",,"1302","N/A","1306","0.31","4","1346","1289","94766"
"123010",,"800","N/A","791","-1.12","9","809","748","83940"
"45226K",,"2685","N/A","2685","-0.19","5","2685","2650","3173"
"093510",,"10990","N/A","10990","12.49","1220","10990","10990","1"
"053450",,"5530","N/A","5820","4.3","240","6780","5530","5412551"
"298830",,"5560","N/A","5230","-7.6","430","6170","5210","11101170"
"054780",,"4385","N/A","4360","0.11","5","4455","4345","130261"
"030350",,"256","N/A","258","0.78","2","284","254","3654651"
"019540",,"4165","N/A","4160","-0.12","5","4205","4105","23071"
"094840",,"6060","N/A","6040","0.5","30","6060","5990","13875"
"054300",,"495","N/A","493","-0.4","2","503","490","53258"
"356890",,"3010","N/A","3015","-0.82","25","3035","3010","13803"
"005380",,"248000","N/A","248500","1.02","2500","249500","246500","282919"
"464280",,"20400","N/A","19100","-6.6","1350","20550","19010","324780"
"440290",,"1952","N/A","1960","0.51","10","1993","1950","52928"
"068940",,"778","N/A","778","0.0","0","778","778","0"
"005387",,"178000","N/A","177800","-0.95","1700","180100","177600","55684"
"377330",,"6330","N/A","6120","-3.01","190","6350","6060","23013"
"005389",,"171900","N/A","172600","-0.06","100","173500","171800","6364"
"044990",,"25000","N/A","25400","1.4","350","25450","24400","7934"
"192440",,"22500","N/A","22500","0.0","0","22600","22400","2815"
"005385",,"175700","N/A","175500","-0.11","200","176600","174600","27105"
"017390",,"53300","N/A","53100","-0.38","200","53300","53000","1411"
"001800",,"16000","N/A","15890","-0.19","30","16090","15790","39311"
"019570",,"410","N/A","426","5.97","24","459","404","2561330"
"038290",,"18230","N/A","18350","0.71","130","18590","18230","36753"
"314140",,"6460","N/A","6650","1.99","130","6750","6460","8802"
"138930",,"9250","N/A","9220","0.0","0","9360","9190","631622"
"000950",,"19640","N/A","19640","0.0","0","19640","19210","461"
"032500",,"7300","N/A","7060","-1.94","140","7390","7060","83146"
"033830",,"801","N/A","800","-0.74","6","801","788","27915"
"032980",,"715","N/A","711","-0.56","4","725","705","118440"
"095720",,"1856","N/A","2040","17.85","309","2190","1834","31293645"
"006260",,"123900","N/A","120600","-2.66","3300","124900","120100","174989"
"009770",,"26700","N/A","26700","0.19","50","26850","26450","2731"
"004080",,"14300","N/A","14280","-0.14","20","14300","14240","1192"
"192410",,"2885","N/A","2870","4.36","120","2935","2725","162349"
"007590",,"6180","N/A","6170","-0.16","10","6220","6170","1308"
"065420",,"282","N/A","275","-2.48","7","288","270","1035832"
"308700",,"199","N/A","199","0.0","0","199","199","0"
"080220",,"13170","N/A","13080","-0.61","80","13560","13020","434077"
"085910",,"3500","N/A","3515","0.29","10","3535","3480","17256"
"044960",,"5100","N/A","5090","-0.39","20","5120","5020","27231"
"068930",,"7290","N/A","7270","0.28","20","7300","7240","8554"
"007110",,"1446","N/A","1411","0.43","6","1488","1392","5144333"
"134580",,"2300","N/A","2335","1.52","35","2365","2270","41486"
"241520",,"2820","N/A","2880","1.77","50","2940","2815","175099"
"263770",,"2160","N/A","2135","-0.47","10","2160","2130","8295"
"094860",,"1464","N/A","1409","-2.63","38","1470","1409","68644"
"338100",,"4560","N/A","4565","0.11","5","4595","4540","71407"
"092200",,"4035","N/A","3955","-0.25","10","4055","3940","100867"
"169670",,"9600","N/A","9750","0.62","60","9790","9480","2733"
"151910",,"640","N/A","640","0.0","0","640","640","0"
"205470",,"1518","N/A","1507","-0.59","9","1534","1500","1353650"
"041460",,"3500","N/A","3490","-0.57","20","3530","3490","22019"
"286000",,"0","N/A","1399","0.0","0","0","0","0"
"020180",,"907","N/A","901","-0.11","1","907","891","39701"
"102120",,"10900","N/A","10830","0.19","20","11220","10790","143213"
"001420",,"3600","N/A","3700","1.37","50","3750","3600","594"
"192080",,"50200","N/A","49750","-0.3","150","50300","49550","36823"
"153710",,"5340","N/A","5340","-0.74","40","5430","5270","4491"
"105630",,"15840","N/A","15800","0.96","150","16310","15770","73770"
"348370",,"212500","N/A","205000","-3.53","7500","219500","202000","270276"
"011230",,"3270","N/A","3250","-0.61","20","3300","3175","23160"
"091700",,"7080","N/A","7060","0.28","20","7110","7030","138893"
"013890",,"18740","N/A","19010","1.44","270","19270","18610","96422"
"090850",,"5000","N/A","5000","0.1","5","5050","4980","135369"
"036530",,"23100","N/A","23000","0.0","0","23600","22850","5627"
"222810",,"1080","N/A","1080","0.0","0","1080","1080","0"
"115440",,"8090","N/A","7820","-4.87","400","8170","7770","810507"
"380540",,"1051","N/A","1043","-0.76","8","1077","1037","228180"
"008060",,"6170","N/A","6200","0.65","40","6210","6140","29808"
"089850",,"6990","N/A","6970","-0.29","20","7040","6870","11839"
"002760",,"1561","N/A","1495","-7.6","123","1594","1481","11400513"
"430460",,"2100","N/A","2140","1.9","40","2145","2100","64669"
"021040",,"1711","N/A","1700","-0.64","11","1714","1697","7133"
"457940",,"2145","N/A","2135","-0.47","10","2145","2135","8007"
"025880",,"2945","N/A","3075","4.77","140","3150","2945","255663"
"049830",,"7400","N/A","7300","-1.35","100","7400","7270","160"
"450050",,"2090","N/A","2095","0.24","5","2100","2090","15105"
"021045",,"3540","N/A","3540","0.0","0","3540","3440","448"
"019180",,"3345","N/A","3335","-0.3","10","3355","3310","42210"
"004920",,"1362","N/A","1400","1.82","25","1423","1360","184819"
"331920",,"4400","N/A","4360","0.35","15","4445","4285","49705"
"314130",,"3340","N/A","3420","4.59","150","3670","3300","457243"
"084180",,"589","N/A","588","-0.17","1","600","577","93625"
"222800",,"18230","N/A","18000","-0.28","50","18940","17980","217969"
"126560",,"4090","N/A","4080","0.25","10","4090","4005","146397"
"250060",,"3195","N/A","3100","-3.73","120","3250","3095","586215"
"036540",,"3695","N/A","3685","0.82","30","3765","3670","460413"
"405000",,"2195","N/A","2185","-0.23","5","2310","2170","17928"
"372910",,"4090","N/A","4065","-0.85","35","4105","3965","338670"
"035200",,"2820","N/A","2855","0.0","0","2945","2820","8931"
"298000",,"44650","N/A","44100","-2.22","1000","45100","43750","10479"
"357780",,"214500","N/A","216000","1.65","3500","217500","212500","18658"
"011210",,"51600","N/A","51200","0.39","200","52000","51200","32619"
"159010",,"7040","N/A","7080","-0.42","30","7150","7000","10640"
"089860",,"30250","N/A","30250","0.0","0","30450","29900","22633"
"266870",,"799","N/A","672","-14.83","117","799","672","11"
"241590",,"8660","N/A","8490","-1.96","170","8660","8310","263114"
"021050",,"1306","N/A","1295","-0.84","11","1314","1294","71090"
"417010",,"10800","N/A","10550","-3.3","360","11030","10550","69432"
"33637L",,"6030","N/A","5980","-0.99","60","6030","5900","2865"
"33637K",,"2635","N/A","2580","-1.34","35","2650","2580","20695"
"352090",,"3440","N/A","3440","0.0","0","3475","3390","55919"
"025890",,"1986","N/A","1992","0.15","3","1994","1982","20823"
"171120",,"2115","N/A","2095","-1.18","25","2115","2080","23885"
"474490",,"2025","N/A","2010","-0.74","15","2025","2005","14009"
"003620",,"5200","N/A","5200","-0.57","30","5240","5170","106162"
"450080",,"122000","N/A","117600","-4.0","4900","124300","117000","912411"
"068100",,"3865","N/A","3820","-1.16","45","3905","3800","29166"
"452260",,"1410","N/A","1414","-0.14","2","1424","1401","660796"
"290520",,"2275","N/A","2275","1.34","30","2320","2205","23048"
"005800",,"9200","N/A","9210","0.22","20","9300","9160","245"
"265520",,"18740","N/A","18950","1.12","210","19560","18740","134282"
"348350",,"8400","N/A","8350","-1.88","160","8500","8350","15951"
"217480",,"499","N/A","499","0.0","0","499","499","0"
"221980",,"12720","N/A","12670","-0.31","40","12720","12660","38"
"445970",,"2195","N/A","2190","-0.23","5","2205","2170","4018"
"388050",,"5370","N/A","5350","-1.29","70","5460","5320","84825"
"123040",,"3370","N/A","3365","-0.88","30","3400","3325","56571"
"138580",,"15850","N/A","15850","0.0","0","15850","15850","948"
"140410",,"28950","N/A","29200","1.74","500","29400","28650","59038"
"336370",,"13390","N/A","12820","-4.26","570","13390","12800","233487"
"002780",,"830","N/A","825","-0.96","8","830","822","137118"
"004960",,"6890","N/A","6910","0.29","20","7030","6880","4436"
"001450",,"31200","N/A","31350","0.48","150","31500","31150","242121"
"000120",,"91000","N/A","89500","-1.1","1000","91300","89200","45708"
"025860",,"6610","N/A","6590","-0.3","20","6640","6560","39539"
"065060",,"336","N/A","328","-2.38","8","343","319","401967"
"000100",,"155000","N/A","161300","1.64","2600","164200","152000","6197606"
"477530",,"2275","N/A","2275","0.0","0","2275","2275","0"
"264660",,"13540","N/A","13470","0.22","30","13550","13330","10394"
"001430",,"20350","N/A","19850","-1.24","250","20400","19780","75789"
"000105",,"143800","N/A","145100","-1.76","2600","148300","140800","131324"
"348340",,"23800","N/A","22950","-2.75","650","24450","22750","64677"
"241560",,"41000","N/A","40350","-0.37","150","41150","40050","328837"
"089890",,"9470","N/A","9430","-0.42","40","9760","9430","43911"
"003610",,"3305","N/A","3340","1.37","45","3445","3305","75454"
"00806K",,"6600","N/A","6540","0.31","20","6600","6430","201"
"251370",,"8510","N/A","8500","-0.58","50","8570","8350","11461"
"125210",,"7390","N/A","7130","-1.25","90","7390","7100","45381"
"272290",,"25450","N/A","25500","-0.2","50","25850","25450","183536"
"469900",,"2090","N/A","2080","-0.48","10","2090","2080","40281"
"053080",,"17060","N/A","16700","-0.95","160","17410","16700","245066"
"298020",,"306500","N/A","301000","-1.95","6000","310000","295000","24188"
"250030",,"5600","N/A","5100","-4.49","240","5990","4850","16418"
"016920",,"1211","N/A","1204","-0.58","7","1220","1201","24630"
"416180",,"27650","N/A","27300","-2.5","700","28300","27300","38476"
"001440",,"12600","N/A","12130","-3.81","480","12690","12120","1751135"
"025870",,"6200","N/A","6200","0.0","0","6210","6150","4177"
"069410",,"3560","N/A","3460","-2.95","105","3670","3460","38574"
"046310",,"2420","N/A","2420","-0.62","15","2440","2415","12367"
"000590",,"67800","N/A","68000","0.59","400","68000","66600","2359"
"002710",,"48450","N/A","48850","-0.2","100","50900","48000","573723"
"043260",,"1612","N/A","1597","-1.6","26","1624","1597","298453"
"288620",,"11600","N/A","11510","-0.35","40","11700","11500","6656"
"049800",,"2335","N/A","2290","-1.93","45","2345","2280","8612"
"099220",,"1360","N/A","1326","-2.5","34","1364","1326","453679"
"106520",,"411","N/A","411","0.0","0","411","411","0"
"347000",,"2490","N/A","2460","-1.99","50","2560","2460","89554"
"233990",,"421","N/A","417","-1.65","7","421","417","26"
"322180",,"5600","N/A","5610","-1.23","70","5700","5300","114611"
"086390",,"9720","N/A","9700","3.74","350","10020","9470","171186"
"034300",,"18180","N/A","18170","0.0","0","18200","18170","64590"
"090410",,"1429","N/A","1446","1.19","17","1452","1425","83889"
"093920",,"5770","N/A","5760","0.52","30","5770","5700","21339"
"276240",,"422","N/A","383","-9.46","40","480","383","154"
"012510",,"46500","N/A","47800","2.36","1100","48900","46400","213908"
"118990",,"11460","N/A","11150","-2.71","310","12060","11080","547694"
"355150",,"8360","N/A","8350","0.0","0","8550","8260","16903"
"115480",,"774","N/A","764","-1.67","13","785","753","152014"
"000520",,"15530","N/A","16640","4.98","790","19500","15000","5717612"
"452670",,"2015","N/A","2010","-0.25","5","2015","2005","5855"
"002700",,"1497","N/A","1503","-0.2","3","1509","1497","83037"
"449020",,"2015","N/A","2015","0.0","0","2015","2005","17564"
"018290",,"35950","N/A","34200","-5.0","1800","36000","34100","1128659"
"268600",,"6680","N/A","6680","0.0","0","6680","6680","0"
"311060",,"5380","N/A","5270","1.54","80","5380","5020","167"
"180060",,"7780","N/A","7790","0.78","60","7790","7780","6"
"034310",,"11380","N/A","11350","-0.26","30","11430","11200","19996"
"185750",,"112100","N/A","112900","0.71","800","113000","110000","28201"
"464680",,"1995","N/A","1994","-0.05","1","1995","1992","11615"
"007160",,"64700","N/A","61500","-5.38","3500","65600","61200","33463"
"462020",,"2030","N/A","2030","-0.25","5","2035","2025","15724"
"008490",,"16860","N/A","16860","-0.82","140","17110","16860","3810"
"119830",,"5710","N/A","5740","0.17","10","5850","5620","85224"
"256630",,"1334","N/A","1412","5.06","68","1414","1320","54108"
"053060",,"1069","N/A","1072","0.28","3","1076","1065","19825"
"229000",,"2625","N/A","2605","-0.76","20","2670","2600","29113"
"020120",,"3615","N/A","3710","4.95","175","4195","3605","3264438"
"285130",,"49950","N/A","50500","2.54","1250","50900","49650","22333"
"004910",,"6560","N/A","6410","-0.62","40","6560","6360","32844"
"291810",,"2155","N/A","2150","0.23","5","2265","2150","16259"
"019175",,"19610","N/A","19600","-0.05","10","19610","19410","2303"
"232680",,"6720","N/A","6660","-0.45","30","6780","6650","6811"
"019170",,"11940","N/A","11850","-0.59","70","12920","11850","354552"
"066360",,"812","N/A","809","-0.98","8","822","807","24047"
"090430",,"128800","N/A","125300","-3.69","4800","128900","125200","395311"
"087260",,"2400","N/A","2305","-5.14","125","2540","2285","1696103"
"058730",,"3245","N/A","3220","0.31","10","3370","3185","268746"
"013870",,"3945","N/A","3965","0.0","0","4005","3920","15136"
"090435",,"37100","N/A","36650","-1.21","450","37100","36500","7291"
"011690",,"2810","N/A","2785","-1.94","55","2845","2780","110191"
"014710",,"7760","N/A","7140","-6.18","470","7770","7110","143933"
"011200",,"17030","N/A","16870","0.0","0","17100","16850","582198"
"008040",,"991","N/A","998","-0.1","1","1001","991","232784"
"035610",,"3920","N/A","3970","0.76","30","4020","3920","10775"
"439250",,"10280","N/A","10300","0.0","0","10300","10280","4705"
"053050",,"3900","N/A","3890","0.0","0","3935","3860","738663"
"294090",,"5560","N/A","5350","-3.78","210","5620","5320","410142"
"28513K",,"23600","N/A","23200","-0.22","50","23600","23100","576"
"082800",,"4110","N/A","4215","2.8","115","4215","4010","202508"
"393890",,"20000","N/A","19280","-3.46","690","20400","19150","233250"
"020150",,"42050","N/A","42550","1.19","500","43200","41950","197911"
"025820",,"4905","N/A","4780","0.0","0","4965","4765","587923"
"000540",,"3580","N/A","3505","-0.28","10","3580","3460","51461"
"000545",,"5600","N/A","5580","0.0","0","5600","5530","434"
"002720",,"5570","N/A","5400","-3.05","170","5570","5400","254883"
"253590",,"11650","N/A","11710","1.56","180","12240","11500","3952933"
"092600",,"1200","N/A","1170","-2.5","30","1228","1170","40159"
"343090",,"1956","N/A","1980","-4.81","100","1995","1801","25425"
"035620",,"491","N/A","491","-1.01","5","499","490","59034"
"340810",,"3305","N/A","3300","-1.2","40","3470","3300","12848"
"115450",,"8000","N/A","8130","-8.24","730","8420","7900","1468775"
"057880",,"8790","N/A","8790","0.0","0","8790","8790","0"
"079650",,"1214","N/A","1224","0.08","1","1245","1214","10429"
"140860",,"184700","N/A","182000","-0.76","1400","184800","181700","19721"
"265560",,"8950","N/A","9010","0.56","50","9040","8910","13222"
"452200",,"7830","N/A","7450","-3.25","250","7970","7450","515155"
"097520",,"17980","N/A","17950","-0.17","30","18140","17930","18864"
"408920",,"2230","N/A","2250","0.0","0","2270","2220","15506"
"002355",,"3080","N/A","3170","0.32","10","3170","3080","282"
"131400",,"2400","N/A","2355","-1.88","45","2420","2350","472424"
"095340",,"61800","N/A","60000","-2.28","1400","62500","55100","611785"
"012160",,"481","N/A","485","1.04","5","485","477","56989"
"037460",,"8630","N/A","8710","0.35","30","8770","8630","14665"
"254490",,"16430","N/A","16210","-0.31","50","17490","16210","690259"
"138040",,"100600","N/A","101700","1.7","1700","102300","100200","200572"
"357250",,"3070","N/A","3070","0.0","0","3080","3065","45001"
"084680",,"1716","N/A","1705","-0.64","11","1731","1705","167616"
"004540",,"2230","N/A","2190","-0.45","10","2230","2175","33595"
"304840",,"3445","N/A","3625","4.17","145","3650","3445","130522"
"005870",,"7850","N/A","8120","3.44","270","8220","7820","671312"
"000180",,"1578","N/A","1565","-1.45","23","1588","1557","43415"
"060230",,"896","N/A","856","-4.57","41","897","842","459347"
"025000",,"49000","N/A","49400","0.82","400","49450","48900","6386"
"002360",,"549","N/A","552","0.36","2","564","545","2265993"
"117580",,"9780","N/A","9820","0.41","40","9870","9710","234236"
"003690",,"8450","N/A","8430","0.48","40","8480","8390","63389"
"052600",,"4200","N/A","4200","0.6","25","4220","4140","61256"
"073560",,"1359","N/A","1354","-0.37","5","1368","1348","53261"
"094480",,"7830","N/A","7890","-0.13","10","8100","7800","573264"
"109960",,"554","N/A","550","-1.61","9","568","545","148446"
"035290",,"529","N/A","501","0.0","0","554","493","1751109"
"171090",,"50600","N/A","50500","0.4","200","52300","49800","62679"
"274090",,"9710","N/A","9710","0.0","0","9870","9620","44624"
"013000",,"1316","N/A","1316","-0.9","12","1347","1313","26270"
"084695",,"19260","N/A","18980","-1.91","370","19490","18970","3949"
"084690",,"8730","N/A","8480","-3.31","290","8800","8470","106166"
"002350",,"7170","N/A","7030","-0.85","60","7170","6980","56988"
"005860",,"4190","N/A","4165","-0.48","20","4210","4150","220158"
"001020",,"722","N/A","705","-0.56","4","722","700","21784"
"242040",,"1545","N/A","1549","-0.13","2","1563","1543","41304"
"041960",,"4100","N/A","4230","3.17","130","4230","4100","125147"
"267320",,"2450","N/A","2385","-2.65","65","2465","2385","93795"
"003200",,"8140","N/A","8090","-0.61","50","8200","8060","38306"
"199430",,"8750","N/A","8520","-2.52","220","9010","8520","43173"
"115390",,"8630","N/A","8600","-0.35","30","8640","8270","11878"
"003680",,"5150","N/A","5130","-0.39","20","5160","5110","17701"
"266470",,"314","N/A","280","-7.59","23","314","271","645"
"425040",,"9900","N/A","9690","-1.22","120","9980","9650","56630"
"001045",,"58600","N/A","58300","-0.51","300","59200","58100","2209"
"073570",,"2300","N/A","2220","-3.48","80","2325","2215","296571"
"096690",,"1307","N/A","1309","-0.08","1","1309","1294","47994"
"046390",,"1438","N/A","1445","0.49","7","1455","1421","21858"
"408900",,"3930","N/A","4010","3.08","120","4270","3895","3638275"
"045060",,"2705","N/A","2705","-0.37","10","2730","2700","9222"
"013030",,"25050","N/A","25000","0.0","0","25250","24800","18303"
"290120",,"2830","N/A","2830","0.53","15","2830","2795","1430"
"037440",,"5240","N/A","5170","-1.34","70","5340","5170","90734"
"050890",,"4575","N/A","4510","-1.1","50","4600","4490","139126"
"187420",,"3025","N/A","3055","0.83","25","3090","2990","28493"
"00104K",,"83000","N/A","80700","-2.77","2300","83000","80700","18130"
"057050",,"46300","N/A","46250","-0.11","50","46400","46100","11530"
"041930",,"7110","N/A","7190","0.56","40","7220","7070","31580"
"220260",,"5320","N/A","5190","-2.44","130","5370","5190","34850"
"003230",,"529000","N/A","545000","3.42","18000","555000","525000","77092"
"472220",,"2150","N/A","2130","-0.93","20","2150","2130","2395"
"006740",,"1327","N/A","1359","3.58","47","1448","1325","1572641"
"049430",,"10920","N/A","10880","-0.91","100","10980","10670","36572"
"130580",,"5120","N/A","5100","0.99","50","5130","5050","2267"
"093190",,"4610","N/A","4635","0.65","30","4650","4600","5103"
"122900",,"8350","N/A","8410","0.36","30","8410","8350","17802"
"002380",,"288000","N/A","284000","-0.35","1000","291500","283000","24132"
"267790",,"4850","N/A","4970","2.47","120","4995","4850","8066"
"004560",,"14340","N/A","14150","-1.87","270","14540","14000","60001"
"208140",,"2565","N/A","2580","0.78","20","2585","2550","135951"
"004545",,"12500","N/A","12300","-1.6","200","12500","12300","1378"
"017860",,"74300","N/A","73300","-1.61","1200","75300","73200","33151"
"222420",,"798","N/A","804","0.12","1","804","793","19568"
"257990",,"4985","N/A","4930","0.2","10","4985","4930","11"
"012170",,"549","N/A","545","-0.91","5","560","540","452967"
